reactions,[SN10H01](mM),[HBr](mM),Temperature,yield,reactions,DMF,SN1OH01,SN1OH01_dil_x_100,HBr,HBr_dil_x_10,HBr_dil_x_10000,vial_id,reaction_plate_id,diluted_plate_id,craic_folder,is_outlier,craic_folder_undil,pc#SN1OH01,pc#SN1Br01s1,pc#carbocat,yield#SN1Br01,yield#SN1Br01s1,run_name,spectrum_dir
61,17.1807250306972,44.9456172430778,26.0,0.8559581552931265,61,149.3866075,285.095,0,65.51839248,0.0,0.0,7,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.0024747433268231,0.0048864247805888,0.0359270184668154,0.5715449671501251,0.2844131881430014,simple-reactions/2023-07-05-run01/,C:\
62,11.46145002002,14.1949196522,26.0,0.4888416589166809,62,289.1176973000001,190.19,0,20.6923027,0.0,0.0,8,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.0058586157786427,0.0089419376867317,0.0268841789539071,-0.2913334211222896,0.7801750800389705,simple-reactions/2023-07-05-run01/,C:\
63,5.7421750095706,2.3677282753945,26.0,0.0082058408100992,63,370.2000106,95.285,0,0.0,34.51498944,0.0,9,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.0056950556355383,0.0029669705464267,0.0547237069390061,-0.5084921946001074,0.5166980354102068,simple-reactions/2023-07-05-run01/,C:\
64,22.90000004,35.483864136419996,26.0,0.7762282490309809,64,68.27425053,380.0,0,51.72574947,0.0,0.0,10,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.0051243731061414,0.0014173127003204,0.0431403086906523,0.7143368648456184,0.0618913841853626,simple-reactions/2023-07-05-run01/,C:\
65,11.46145002002,63.869123451,26.0,0.8960367103717252,65,216.7063215,190.19,0,93.1036785,0.0,0.0,11,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.0011915700479913,0.0037385761311564,0.0276688122719615,0.5698496987260585,0.3261870116456666,simple-reactions/2023-07-05-run01/,C:\
66,5.7421750095706,52.0419320674766,26.0,0.8909452424100863,66,328.8521253,95.285,0,75.86287474,0.0,0.0,12,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.0006262115037075,0.0097164818342589,0.0310196878248125,-0.8011804448189248,1.6921256872290111,simple-reactions/2023-07-05-run01/,C:\
67,11.4614500204784,40.2147406938885,26.0,0.8260390726228349,67,251.187929,190.19,0,58.62207098,0.0,0.0,13,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.0019938444746494,0.0010997122817888,0.0345133052383509,0.7300902808186596,0.0959487918041753,simple-reactions/2023-07-05-run01/,C:\
69,17.1807250293227,28.3875493117845,26.0,0.7189945363931547,69,173.52373280000003,285.095,0,41.38126722,0.0,0.0,15,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.0048278776019665,0.002709223409536,0.0405400284664954,0.5613048344211963,0.1576897019719584,simple-reactions/2023-07-05-run01/,C:\
70,17.1807250303536,54.407370347228095,26.0,0.8793938846802467,70,135.5939645,285.095,0,79.31103549,0.0,0.0,16,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.0020721005042878,0.0018639919152886,0.0275875207207236,0.7709006801155105,0.1084932045647361,simple-reactions/2023-07-05-run01/,C:\
71,11.461450019103,52.0419320674766,26.0,0.8735841959363512,71,233.9471253,190.19,0,75.86287474,0.0,0.0,17,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.0014489084199002,0.0043324948844854,0.0073477621923298,0.4955783696871101,0.378005826249241,simple-reactions/2023-07-05-run01/,C:\
