reactions,DMF,SN1OH01,SN1OH01_dil_x_100,HBr,HBr_dil_x_10,HBr_dil_x_10000,vial_id,reaction_plate_id,diluted_plate_id,craic_folder,is_outlier,craic_folder_undil,c#SN1OH01,c#HBr,Temperature,pc#SN1OH01,pc#SN1Br01s1,pc#carbocat,yield,yield#SN1Br01,yield#SN1Br01s1,run_name
64,68.27425053,380.0,0,51.72574947,0.0,0.0,10,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.022900000040000004,0.035483864136420004,26,0.005124373106141407,0.0014173127003204596,0.04314030869065239,0.7762282490309809,0.7143368648456184,0.061891384185362615,simple-reactions/2023-07-05-run01/
65,216.7063215,190.19,0,93.1036785,0.0,0.0,11,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.01146145002002,0.063869123451,26,0.0011915700479913365,0.0037385761311564897,0.02766881227196155,0.8960367103717252,0.5698496987260585,0.3261870116456666,simple-reactions/2023-07-05-run01/
66,328.8521253,95.285,0,75.86287474,0.0,0.0,12,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.005742175009570626,0.05204193206747665,26,0.0006262115037075846,0.00971648183425895,0.031019687824812518,0.8909452424100863,-0.8011804448189248,1.6921256872290111,simple-reactions/2023-07-05-run01/
67,251.187929,190.19,0,58.62207098,0.0,0.0,13,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.011461450020478455,0.04021474069388858,26,0.00199384447464946,0.0010997122817888489,0.03451330523835097,0.8260390726228349,0.7300902808186596,0.09594879180417536,simple-reactions/2023-07-05-run01/
69,173.52373280000003,285.095,0,41.38126722,0.0,0.0,15,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.017180725029322774,0.0283875493117845,26,0.004827877601966578,0.002709223409536075,0.040540028466495404,0.7189945363931547,0.5613048344211963,0.15768970197195842,simple-reactions/2023-07-05-run01/
70,135.5939645,285.095,0,79.31103549,0.0,0.0,16,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.017180725030353616,0.05440737034722815,26,0.0020721005042878007,0.0018639919152886378,0.02758752072072365,0.8793938846802467,0.7709006801155105,0.10849320456473616,simple-reactions/2023-07-05-run01/
71,233.9471253,190.19,0,75.86287474,0.0,0.0,17,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.011461450019103085,0.05204193206747665,26,0.0014489084199002405,0.0043324948844854425,0.007347762192329826,0.8735841959363512,0.4955783696871101,0.37800582624924106,simple-reactions/2023-07-05-run01/
72,275.2950106,190.19,0,0.0,34.51498944,0.0,18,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.011461450019103082,0.0023677282753945808,26,0.011529546852106928,0.0016794613402639905,0.059660233077606886,0.0,-0.15247269502158425,0.1465313147520419,simple-reactions/2023-07-05-run01/
74,85.51505429,380.0,0,34.48494571,0.0,0.0,20,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.022900000040000004,0.02365667275706,26,0.00826764235592478,0.003765611221854025,0.038927379539619736,0.6389675833413326,0.4745304123685581,0.16443717097277455,simple-reactions/2023-07-05-run01/
75,268.42873280000003,190.19,0,41.38126722,0.0,0.0,21,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.011461450019561541,0.028387549311784506,26,0.003127750173125645,0.005414722785476495,0.03251431299889716,0.7271069395419048,0.25467781615567936,0.4724291233862254,simple-reactions/2023-07-05-run01/
76,85.48501056,380.0,0,0.0,34.51498944,0.0,22,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.022900000040000004,0.0023677282755840004,26,0.020390639575855542,0.005023991875069477,0.0609848101413126,0.10957905937822264,-0.10980923172631643,0.21938829110453908,simple-reactions/2023-07-05-run01/
