Wavelength,bkg,ref1_c1,ref1_c2,ref1_c3,ref1_c4,ref1_c5,ref2_c1,ref2_c2,ref2_c3,ref2_c4,ref2_c5,ref3_c1,ref3_c2,ref3_c3,ref3_c4,ref3_c5
258,0.008166666666666671,0.11183333333333333,0.2278333333333333,0.3368333333333333,0.44233333333333336,0.5543333333333333,-0.00966666666666667,-0.01366666666666667,-0.00916666666666667,0.003333333333333328,-0.0036666666666666714,0.03983333333333333,0.07733333333333332,0.13733333333333334,0.18383333333333332,0.2318333333333333
259,0.007611111111111116,0.10138888888888889,0.20788888888888887,0.3083888888888889,0.40638888888888886,0.5093888888888889,-0.008611111111111115,-0.012111111111111114,-0.008111111111111118,0.004388888888888883,-0.0021111111111111166,0.029388888888888888,0.058388888888888886,0.10788888888888888,0.14288888888888887,0.18138888888888888
260,0.008259259259259265,0.08774074074074073,0.18074074074074073,0.2712407407407408,0.35774074074074075,0.4497407407407408,-0.009259259259259266,-0.011759259259259264,-0.008259259259259265,0.0037407407407407346,-0.0007592592592592651,0.021740740740740734,0.04274074074074074,0.08274074074074073,0.11174074074074072,0.14124074074074072
261,0.009296296296296302,0.07220370370370369,0.1522037037037037,0.22770370370370369,0.2992037037037037,0.3772037037037037,-0.009796296296296303,-0.012796296296296302,-0.008796296296296302,0.0032037037037036973,-0.0017962962962963028,0.0162037037037037,0.0312037037037037,0.0637037037037037,0.0872037037037037,0.11020370370370369
262,0.009629629629629634,0.05687037037037037,0.12137037037037038,0.18087037037037038,0.23737037037037037,0.29987037037037034,-0.010629629629629635,-0.012129629629629633,-0.009629629629629634,0.0018703703703703651,-0.003129629629629634,0.011870370370370364,0.022870370370370367,0.049870370370370364,0.06887037037037036,0.08837037037037038
263,0.008592592592592598,0.04290740740740741,0.09240740740740741,0.1374074074074074,0.1794074074074074,0.2254074074074074,-0.010592592592592598,-0.012092592592592596,-0.010092592592592597,0.001907407407407402,-0.003092592592592598,0.007907407407407403,0.016407407407407405,0.040907407407407406,0.056407407407407406,0.07240740740740739
264,0.007592592592592597,0.029407407407407403,0.0659074074074074,0.0994074074074074,0.12940740740740742,0.1624074074074074,-0.010592592592592598,-0.013092592592592597,-0.011092592592592598,0.0009074074074074028,-0.0030925925925925973,0.0034074074074074024,0.010907407407407406,0.033407407407407406,0.046407407407407404,0.05940740740740741
265,0.007481481481481486,0.01951851851851852,0.046018518518518514,0.07101851851851851,0.09351851851851851,0.11701851851851851,-0.010981481481481484,-0.013981481481481484,-0.010981481481481484,1.851851851851407e-05,-0.003981481481481486,0.0015185185185185137,0.008018518518518515,0.029018518518518513,0.039518518518518515,0.05151851851851852
266,0.00831481481481482,0.01218518518518518,0.03268518518518518,0.05318518518518518,0.06818518518518518,0.08668518518518518,-0.01131481481481482,-0.013814814814814818,-0.009814814814814821,0.00018518518518517973,-0.004814814814814821,0.0011851851851851797,0.00718518518518518,0.027185185185185177,0.03668518518518518,0.04818518518518518
267,0.009148148148148154,0.006351851851851846,0.023851851851851846,0.03985185185185185,0.05135185185185184,0.06685185185185184,-0.011648148148148154,-0.013648148148148152,-0.010148148148148153,-0.0006481481481481538,-0.007648148148148155,0.000851851851851845,0.006851851851851847,0.025851851851851848,0.03435185185185184,0.045851851851851845
268,0.009055555555555561,0.0029444444444444388,0.019444444444444438,0.032444444444444435,0.041444444444444443,0.05344444444444444,-0.011055555555555562,-0.01355555555555556,-0.011055555555555562,-5.555555555556129e-05,-0.00955555555555556,0.0004444444444444383,0.00794444444444444,0.026444444444444437,0.03544444444444444,0.04694444444444444
269,0.009055555555555561,0.0009444444444444387,0.01594444444444444,0.027944444444444445,0.03394444444444444,0.043944444444444446,-0.011055555555555562,-0.01355555555555556,-0.011555555555555558,-5.555555555556129e-05,-0.007555555555555563,-5.5555555555560424e-05,0.00794444444444444,0.027444444444444438,0.03694444444444444,0.04844444444444444
270,0.007537037037037042,0.001962962962962958,0.014962962962962957,0.02646296296296296,0.031462962962962956,0.038962962962962956,-0.009537037037037042,-0.013037037037037041,-0.011037037037037043,0.00046296296296295756,-0.007037037037037042,0.0024629629629629567,0.008462962962962959,0.029462962962962955,0.03946296296296296,0.04996296296296296
