Index,Mn,Fe,Co,Ni,Cu,M1-Fe,M1-Co,Yield_of_styrene_oxide (%),Yield_of_benzaldehyde (%),Selectivity_of_styrene_oxide (%)
284,0,0.2,0.4,0.4,0,0.4,0.6,25.11125317,5.019722354,83.34033
285,0,0.2,0.6,0,0.2,0.4,0.6,55.6973382,5.333373195,91.26116
286,0,0.2,0.6,0.2,0,0.4,0.6,29.46490105,4.426140573,86.94009
287,0,0.2,0.8,0,0,0.4,0.6,32.17601815,4.401606387,87.9664
288,0,0.4,0,0,0.6,0.4,0.6,49.61479021,2.998266632,94.30129
289,0,0.4,0,0.2,0.4,0.4,0.6,41.62697451,6.043126212,87.32303
290,0,0.4,0,0.4,0.2,0.4,0.6,25.41600865,4.680958475,84.44708
291,0,0.4,0,0.6,0,0.4,0.6,25.97822914,5.118976421,83.53879
292,0,0.4,0.2,0,0.4,0.4,0.6,63.27067772,0.468078533,99.26563
293,0,0.4,0.2,0.2,0.2,0.4,0.6,50.47684114,5.112594327,90.80294
294,0,0.4,0.2,0.4,0,0.4,0.6,32.65367138,5.189272604,86.28734
295,0,0.4,0.4,0,0.2,0.4,0.6,60.56895626,1.276231255,97.93641
296,0,0.4,0.4,0.2,0,0.4,0.6,30.75405946,4.546286695,87.12113
297,0,0.4,0.6,0,0,0.4,0.6,31.19990762,4.006031413,88.62115
298,0,0.6,0,0,0.4,0.4,0.6,58.15103364,2.62062733,95.68775
299,0,0.6,0,0.2,0.2,0.4,0.6,34.32939914,3.113227435,91.68534
300,0,0.6,0,0.4,0,0.4,0.6,26.94026465,4.826258007,84.80709
301,0,0.6,0.2,0,0.2,0.4,0.6,55.31253883,2.334884367,95.94972
302,0,0.6,0.2,0.2,0,0.4,0.6,28.39537538,2.781942344,91.07703
303,0,0.6,0.4,0,0,0.4,0.6,31.24601687,4.884909068,86.47998
304,0,0.8,0,0,0.2,0.4,0.6,53.56882732,3.799013786,93.3778
305,0,0.8,0,0.2,0,0.4,0.6,26.69728028,4.705810045,85.01482
306,0,0.8,0.2,0,0,0.4,0.6,26.04543357,6.624508501,79.72293
307,0,1,0,0,0,0.4,0.6,26.58554877,5.770323068,82.16607
308,0.2,0,0,0,0.8,0.4,0.6,69.81937373,1.298196054,98.17458
309,0.2,0,0,0.2,0.6,0.4,0.6,64.49800648,0.580876309,99.10743
310,0.2,0,0,0.4,0.4,0.4,0.6,57.32890218,1.781519996,96.98612
311,0.2,0,0,0.6,0.2,0.4,0.6,40.44092928,4.612902778,89.76135
312,0.2,0,0,0.8,0,0.4,0.6,21.07893084,3.063162044,87.31194
313,0.2,0,0.2,0,0.6,0.4,0.6,62.07697572,2.489842443,96.14377
314,0.2,0,0.2,0.2,0.4,0.4,0.6,64.25887973,0.224680104,99.65157
315,0.2,0,0.2,0.4,0.2,0.4,0.6,60.2940233,3.605166091,94.35804
316,0.2,0,0.2,0.6,0,0.4,0.6,26.45682716,4.945139054,84.25214
317,0.2,0,0.4,0,0.4,0.4,0.6,64.56034867,0,100
318,0.2,0,0.4,0.2,0.2,0.4,0.6,63.4886982,0,100
319,0.2,0,0.4,0.4,0,0.4,0.6,42.77428996,4.289101805,90.88654
320,0.2,0,0.6,0,0.2,0.4,0.6,60.01209136,1.293227281,97.89051
321,0.2,0,0.6,0.2,0,0.4,0.6,43.76416994,3.817619885,91.97672
322,0.2,0,0.8,0,0,0.4,0.6,44.03100459,1.923474976,95.81439
323,0.2,0.2,0,0,0.6,0.4,0.6,59.21972946,1.140178412,98.11103
324,0.2,0.2,0,0.2,0.4,0.4,0.6,59.16391135,3.873761454,93.85485
325,0.2,0.2,0,0.4,0.2,0.4,0.6,56.62879625,1.103312329,98.08891
326,0.2,0.2,0,0.6,0,0.4,0.6,20.39258342,4.893085139,80.64878
327,0.2,0.2,0.2,0,0.4,0.4,0.6,63.70017936,0.799830395,98.75995
328,0.2,0.2,0.2,0.2,0.2,0.4,0.6,58.12677932,4.246448904,93.19187
329,0.2,0.2,0.2,0.4,0,0.4,0.6,34.9292928,3.925329431,89.89739
330,0.2,0.2,0.4,0,0.2,0.4,0.6,58.16248664,3.725701759,93.97995
331,0.2,0.2,0.4,0.2,0,0.4,0.6,34.3636878,3.447979007,90.88118
